date_key,full_date,year,month,month_name,day,day_of_week_num,day_name,is_weekend,quarter
246,2016-09-02 00:00:00+05:30,2016,9,September,2,5,Friday   ,f,3
247,2016-09-03 00:00:00+05:30,2016,9,September,3,6,Saturday ,t,3
248,2016-09-04 00:00:00+05:30,2016,9,September,4,0,Sunday   ,t,3
249,2016-09-05 00:00:00+05:30,2016,9,September,5,1,Monday   ,f,3
250,2016-09-06 00:00:00+05:30,2016,9,September,6,2,Tuesday  ,f,3
251,2016-09-07 00:00:00+05:30,2016,9,September,7,3,Wednesday,f,3
252,2016-09-08 00:00:00+05:30,2016,9,September,8,4,Thursday ,f,3
253,2016-09-09 00:00:00+05:30,2016,9,September,9,5,Friday   ,f,3
254,2016-09-10 00:00:00+05:30,2016,9,September,10,6,Saturday ,t,3
255,2016-09-11 00:00:00+05:30,2016,9,September,11,0,Sunday   ,t,3
256,2016-09-12 00:00:00+05:30,2016,9,September,12,1,Monday   ,f,3
257,2016-09-13 00:00:00+05:30,2016,9,September,13,2,Tuesday  ,f,3
258,2016-09-14 00:00:00+05:30,2016,9,September,14,3,Wednesday,f,3
259,2016-09-15 00:00:00+05:30,2016,9,September,15,4,Thursday ,f,3
260,2016-09-16 00:00:00+05:30,2016,9,September,16,5,Friday   ,f,3
261,2016-09-17 00:00:00+05:30,2016,9,September,17,6,Saturday ,t,3
262,2016-09-18 00:00:00+05:30,2016,9,September,18,0,Sunday   ,t,3
263,2016-09-19 00:00:00+05:30,2016,9,September,19,1,Monday   ,f,3
264,2016-09-20 00:00:00+05:30,2016,9,September,20,2,Tuesday  ,f,3
265,2016-09-21 00:00:00+05:30,2016,9,September,21,3,Wednesday,f,3
266,2016-09-22 00:00:00+05:30,2016,9,September,22,4,Thursday ,f,3
267,2016-09-23 00:00:00+05:30,2016,9,September,23,5,Friday   ,f,3
268,2016-09-24 00:00:00+05:30,2016,9,September,24,6,Saturday ,t,3
269,2016-09-25 00:00:00+05:30,2016,9,September,25,0,Sunday   ,t,3
270,2016-09-26 00:00:00+05:30,2016,9,September,26,1,Monday   ,f,3
271,2016-09-27 00:00:00+05:30,2016,9,September,27,2,Tuesday  ,f,3
272,2016-09-28 00:00:00+05:30,2016,9,September,28,3,Wednesday,f,3
273,2016-09-29 00:00:00+05:30,2016,9,September,29,4,Thursday ,f,3
274,2016-09-30 00:00:00+05:30,2016,9,September,30,5,Friday   ,f,3
275,2016-10-01 00:00:00+05:30,2016,10,October  ,1,6,Saturday ,t,4
276,2016-10-02 00:00:00+05:30,2016,10,October  ,2,0,Sunday   ,t,4
277,2016-10-03 00:00:00+05:30,2016,10,October  ,3,1,Monday   ,f,4
278,2016-10-04 00:00:00+05:30,2016,10,October  ,4,2,Tuesday  ,f,4
279,2016-10-05 00:00:00+05:30,2016,10,October  ,5,3,Wednesday,f,4
280,2016-10-06 00:00:00+05:30,2016,10,October  ,6,4,Thursday ,f,4
281,2016-10-07 00:00:00+05:30,2016,10,October  ,7,5,Friday   ,f,4
282,2016-10-08 00:00:00+05:30,2016,10,October  ,8,6,Saturday ,t,4
283,2016-10-09 00:00:00+05:30,2016,10,October  ,9,0,Sunday   ,t,4
284,2016-10-10 00:00:00+05:30,2016,10,October  ,10,1,Monday   ,f,4
285,2016-10-11 00:00:00+05:30,2016,10,October  ,11,2,Tuesday  ,f,4
286,2016-10-12 00:00:00+05:30,2016,10,October  ,12,3,Wednesday,f,4
287,2016-10-13 00:00:00+05:30,2016,10,October  ,13,4,Thursday ,f,4
288,2016-10-14 00:00:00+05:30,2016,10,October  ,14,5,Friday   ,f,4
289,2016-10-15 00:00:00+05:30,2016,10,October  ,15,6,Saturday ,t,4
290,2016-10-16 00:00:00+05:30,2016,10,October  ,16,0,Sunday   ,t,4
291,2016-10-17 00:00:00+05:30,2016,10,October  ,17,1,Monday   ,f,4
292,2016-10-18 00:00:00+05:30,2016,10,October  ,18,2,Tuesday  ,f,4
293,2016-10-19 00:00:00+05:30,2016,10,October  ,19,3,Wednesday,f,4
294,2016-10-20 00:00:00+05:30,2016,10,October  ,20,4,Thursday ,f,4
295,2016-10-21 00:00:00+05:30,2016,10,October  ,21,5,Friday   ,f,4
296,2016-10-22 00:00:00+05:30,2016,10,October  ,22,6,Saturday ,t,4
